Event Id,Event Date,Location,Country,Airport Name,Injury Severity,Aircraft damage,Aircraft Category,Make,Model,Amateur Built,Number of Engines,Engine Type,Purpose of flight,Air carrier,Total Fatal Injuries,Total Serious Injuries,Total Minor Injuries,Total Uninjured,Weather Condition,Broad phase of flight,City,State,Year,Month,Day,Number of Passengers,Survival rate
20210621103296,2021-06-19,"Portland, IN",United States,PORTLAND MUNI,Non-Fatal,Substantial,Airplane,Cessna,310R,No,2.0,,Business,B & F Aviation Inc,0.0,0.0,0.0,2.0,VMC,,Portland, IN,2021,6,19,2.0,1.0
20210705103416,2021-06-28,"Dillingham, AK",United States,NUSHAGAK,Non-Fatal,Substantial,Airplane,Cessna,A185F,No,1.0,Reciprocating,Business,,0.0,0.0,0.0,3.0,VMC,,Dillingham, AK,2021,6,28,3.0,1.0
20210718103496,2021-07-16,"Refugio, TX",United States,Rooke Field Airport,Non-Fatal,Substantial,Airplane,Cessna,P210,No,1.0,,Business,Linco Financial Services,0.0,1.0,0.0,1.0,VMC,,Refugio, TX,2021,7,16,2.0,1.0
20210731103595,2021-07-30,"Colchester, VT",United States,,Non-Fatal,Destroyed,Helicopter,Enstrom,280FX,No,1.0,,Business,BETA AIR LLC,0.0,0.0,1.0,0.0,VMC,,Colchester, VT,2021,7,30,1.0,1.0
20210805103645,2021-07-27,"Patterson, LA",United States,,Non-Fatal,Substantial,Airplane,Cessna,182T,No,1.0,,Business,WESTBANK FISHING LLC,0.0,0.0,0.0,1.0,VMC,,Patterson, LA,2021,7,27,1.0,1.0
20210811103681,2021-08-11,"Helena, MT",United States,HELENA RGNL,Non-Fatal,Substantial,Airplane,Cessna,425,No,2.0,,Business,K-AERO LLC,0.0,0.0,3.0,0.0,VMC,,Helena, MT,2021,8,11,3.0,1.0
20210825103750,2021-08-24,"Lansing, MI",United States,Capital Region International,Non-Fatal,Destroyed,Airplane,Cirrus,SF50,No,1.0,,Business,N1GG LLC,0.0,0.0,0.0,4.0,VMC,,Lansing, MI,2021,8,24,4.0,1.0
20210907103812,2021-09-03,"Naples, FL",United States,NAPLES MUNI,Non-Fatal,Substantial,Airplane,Raytheon  craft,390,No,2.0,,Business,Executive Aero Charter Management LLC,0.0,0.0,0.0,4.0,VMC,,Naples, FL,2021,9,3,4.0,1.0
20210916103885,2021-09-15,"Stanley, ID",United States,STANLEY,Non-Fatal,Substantial,Airplane,Piper,PA-32R-301,No,1.0,Reciprocating,Business,"Rose Air, LLC",0.0,0.0,0.0,1.0,VMC,,Stanley, ID,2021,9,15,1.0,1.0
20210921103927,2021-08-21,"Bettles, AK",United States,,Non-Fatal,Substantial,Airplane,Dehavilland,DHC-3,No,1.0,,Business,"Sourdough Air Service, Inc.",0.0,0.0,0.0,3.0,VMC,,Bettles, AK,2021,8,21,3.0,1.0
